text,label,notes
Congratulations! This is a remarkable accomplishment that few scientists ever enjoy! Very cool!,reaction,ai-prelabeled; human-reviewed
That's interesting! Would love an update once it is formally published,reaction,ai-prelabeled; human-reviewed
Congrats! Nature main or Nature Communications (for instance). Not that it makes great difereence. Top achievement 🥇,reaction,ai-prelabeled; human-reviewed
"Impressive! Well done! Make sure to capitalize, aa i stated previously",reaction,ai-prelabeled; human-reviewed
I am more happy reading the comments that everyone are genuinely happy. Just strangers being happy for another fellow stranger united by quest for knowledge. Congratulations OP!,reaction,ai-prelabeled; human-reviewed
"Congratulations, this is huge!",reaction,ai-prelabeled; human-reviewed
"Hey OP, CONGRATULATIONS ON THE ACHIEVEMENT! HONOR US WITH A LINK?",reaction,ai-prelabeled; human-reviewed
"Wow, for many researchers that remains a dream. Big congrats!!",reaction,ai-prelabeled; human-reviewed
Congratulations!! An incredible accomplishment.,reaction,ai-prelabeled; human-reviewed
Congratulations on acceptance! The journey of the correspondence must have been nerve-racking. Do let us know what the paper was about! Thanks,reaction,ai-prelabeled; human-reviewed
Holy crap congrats! What made you go for it,reaction,ai-prelabeled; human-reviewed
Congrats! I’ve only ever gotten into nature sub journals due to my domain.,reaction,ai-prelabeled; human-reviewed
HOLY SHIT - congrats!!,reaction,ai-prelabeled; human-reviewed
Congratulations... must be an insane feeling tbh,reaction,ai-prelabeled; human-reviewed
"Yes! A huge sense of relief even though, this is my second one as first author, still it felt like an imposter syndrome with the first one. This one is very comforting and reassuring!",reaction,ai-prelabeled; human-reviewed
"That is so cool, congratulations!",reaction,ai-prelabeled; human-reviewed
The timelines gives me hope,reaction,ai-prelabeled; human-reviewed
This is huge! Congats!!,reaction,ai-prelabeled; human-reviewed
That is awesome!!! Congrats!!!,reaction,ai-prelabeled; human-reviewed
"Huge grats, truly an amazing achievement.",reaction,ai-prelabeled; human-reviewed
What a phenomenal accomplishment!! Many congratulations!!,reaction,ai-prelabeled; human-reviewed
Wow! What an accomplishment!! Good for you!,reaction,ai-prelabeled; human-reviewed
Congratulations! 🥳 That’s a HUGE achievement after a lot of work! I think only those who went through this excruciating process themselves can really understand what it takes to get there.,reaction,ai-prelabeled; human-reviewed
"Holy cow, that's huge! Congrats!",reaction,ai-prelabeled; human-reviewed
Amazing! Your determination paid off and you should be delighted with yourself!!,reaction,ai-prelabeled; human-reviewed
"Congrats, great work! 🎉",reaction,ai-prelabeled; human-reviewed
Congrats! I’ve never even got them to review one of mine.,reaction,ai-prelabeled; human-reviewed
"I ended up checking the story out because of your comment and it really resonated with me, so thanks for leaving that here :)",reaction,ai-prelabeled; human-reviewed
Seriously. Send this into Science Working Life. This would touch a lot of people.,reaction,ai-prelabeled; human-reviewed
Very good for you. Kindness is too scarce in academe,reaction,ai-prelabeled; human-reviewed
I second this. It's never too late. As an academic I'd appreciate an email that came months later than not getting any feedback,reaction,ai-prelabeled; human-reviewed
It is never too late. Movies are written about stuff like this.,reaction,ai-prelabeled; human-reviewed
"I don't think you're being overly sensitive. I admire passion for any topic and this is very sad. I'm happy for the person, that he got to present at a large conference. I hope he feels fulfilled.",reaction,ai-prelabeled; human-reviewed
"In fact i'll follow this up with my own story. During the second year of my PhD every student had to present their research and i spent months on this presentation, practicing and polishing. Nobody showed up to the talk. There were 3 people in the audience, one of them was the director of graduate studies. My advisor wasn't even there. I was really upset about that.",reaction,"DIFFICULT: personal anecdote/narrative with emotional close ('I was really upset') -> reaction over analysis (emotion dominates, no general argument)"
"I remember a colleague back when I was completing my PhD tell me that their greatest fear wasn't someone else ripping apart their research, it was crickets. I agree and think it has to do with (for me) wanting to make a difference, have an impact, etc. ... Even a tiny one, which is more likely anyway since knowledge in my field is at once cumulative and recursive....",reaction,ai-prelabeled; human-reviewed
"Oof. That’s sad. Now I want to know the story from his perspective, and maybe someone else who was there.",reaction,ai-prelabeled; human-reviewed
"Absolutely how I've always felt, it's like high school with PowerPoints 🤮 the most irritating self aggrandizing people I know are obsessed with going on and on about conferences and constantly posting conference selfies for Christ's sake",reaction,"DIFFICULT: emotional disgust ('most irritating', emoji) vs opinion -> reaction (feeling dominates)"
"The worst slot in any conference is the last talk on the last day, when everyone has already left for the airport. That was my fate in 1971 when I spoke to a hall with 1000 empty seats. Only my PI and my 3 loyal labmates were there. I think that may have been a factor in making an entire change of fields.",reaction,ai-prelabeled; human-reviewed
"This. One thing truly makes me sad is that the system failed him, in a way. For me, having my talk thrown into the “garbage bin” session is something I can laugh about later. But for him, it might have been the shattering of a lifetime dream. I hope I’m just overthinking it.",reaction,ai-prelabeled; human-reviewed
It would have bothered me as well. It’s hard enough to present without such a cold reception.,reaction,ai-prelabeled; human-reviewed
